datetime,portfolio_value,cash,positions,return
2025-03-01 00:00:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2025-03-02 00:00:00-05:00,97100.75935122668,124502.5621710098,"[{'asset': USD, 'quantity': 124502.5621710098}, {'asset': BTC, 'quantity': -0.2906273831445418}]",-0.02899240648773327
2025-03-03 00:00:00-05:00,99425.65120709596,152900.00078796904,"[{'asset': USD, 'quantity': 152900.00078796904}, {'asset': BTC, 'quantity': -0.6207503140747264}]",0.02394308624775876
2025-03-04 00:00:00-05:00,91250.9158573992,52535.460731459076,"[{'asset': USD, 'quantity': 52535.460731459076}, {'asset': BTC, 'quantity': 0.44373014470991556}]",-0.08221958066605384
2025-03-05 00:00:00-05:00,93414.25473593592,39567.97791176474,"[{'asset': USD, 'quantity': 39567.97791176474}, {'asset': BTC, 'quantity': 0.5942615508172482}]",0.023707585378292872
2025-03-06 00:00:00-05:00,91126.1619837384,100942.43571251724,"[{'asset': USD, 'quantity': 100942.43571251724}, {'asset': BTC, 'quantity': -0.10917063028020167}]",-0.02449404278464251
2025-03-07 00:00:00-05:00,91470.5407369573,100942.43571251724,"[{'asset': USD, 'quantity': 100942.43571251724}, {'asset': BTC, 'quantity': -0.10917063028020167}]",0.0037791425176048055
2025-03-08 00:00:00-05:00,92629.82604722292,127098.0321356723,"[{'asset': USD, 'quantity': 127098.0321356723}, {'asset': BTC, 'quantity': -0.40002978141069623}]",0.012673865278651775
2025-03-09 00:00:00-05:00,94822.02925233169,127098.0321356723,"[{'asset': USD, 'quantity': 127098.0321356723}, {'asset': BTC, 'quantity': -0.40002978141069623}]",0.023666277900502353
2025-03-10 01:00:00-04:00,95672.1725437857,127098.0321356723,"[{'asset': USD, 'quantity': 127098.0321356723}, {'asset': BTC, 'quantity': -0.40002978141069623}]",0.008965672831064309
2025-03-11 01:00:00-04:00,93049.73824354967,159742.59093706342,"[{'asset': USD, 'quantity': 159742.59093706342}, {'asset': BTC, 'quantity': -0.8044976199458835}]",-0.027410627672700083
2025-03-12 01:00:00-04:00,92427.53978428354,159742.59093706342,"[{'asset': USD, 'quantity': 159742.59093706342}, {'asset': BTC, 'quantity': -0.8044976199458835}]",-0.0066867298179558166
2025-03-13 01:00:00-04:00,95341.1722524506,199309.1102510944,"[{'asset': USD, 'quantity': 199309.1102510944}, {'asset': BTC, 'quantity': -1.2817777081730364}]",0.031523423375405146
2025-03-14 01:00:00-04:00,91642.85903105894,199309.1102510944,"[{'asset': USD, 'quantity': 199309.1102510944}, {'asset': BTC, 'quantity': -1.2817777081730364}]",-0.03879030574114439
2025-03-15 01:00:00-04:00,91213.07896550854,199309.1102510944,"[{'asset': USD, 'quantity': 199309.1102510944}, {'asset': BTC, 'quantity': -1.2817777081730364}]",-0.004689727820524903
2025-03-16 01:00:00-04:00,93434.39973377241,199309.1102510944,"[{'asset': USD, 'quantity': 199309.1102510944}, {'asset': BTC, 'quantity': -1.2817777081730364}]",0.024353094901048644
